id	n	tau	factorization
29307	9737467740	864	2^2*3^2*5^1*7^1*11^2*13^1*17^3
29308	9737783328	864	2^5*3^1*7^2*13^1*17^2*19^1*29^1
29309	9738144000	1080	2^8*3^4*5^3*13^1*17^2
29310	9738273600	1008	2^6*3^7*5^2*11^2*23^1
29311	9739267200	1152	2^7*3^3*5^2*13^2*23^1*29^1
29312	9739449720	1296	2^3*3^5*5^1*7^2*11^2*13^2
29313	9740102400	1296	2^8*3^2*5^2*7^3*17^1*29^1
29314	9740688048	960	2^4*3^7*7^2*13^1*19^1*23^1
29315	9741096288	1008	2^5*3^6*7^1*11^2*17^1*29^1
29316	9741303000	960	2^3*3^4*5^3*11^1*13^1*29^2
29317	9741366180	960	2^2*3^4*5^1*7^1*13^3*17^1*23^1
29318	9741473280	1440	2^9*3^2*5^1*7^1*11^1*17^2*19^1
29319	9742148640	1080	2^5*3^4*5^1*7^2*23^2*29^1
29320	9742201560	960	2^3*3^3*5^1*7^4*13^1*17^2
29321	9742281120	1152	2^5*3^2*5^1*11^3*13^1*17^1*23^1
29322	9742596864	1152	2^8*3^1*7^1*11^1*13^1*19^1*23^1*29^1
29323	9743101200	1350	2^4*3^4*5^2*7^2*17^1*19^2
29324	9743779500	864	2^2*3^1*5^3*7^1*13^2*17^2*19^1
29325	9743872320	1120	2^6*3^9*5^1*7^1*13^1*17^1
29326	9744134400	1296	2^8*3^2*5^2*7^1*11^1*13^3
29327	9744633360	1080	2^4*3^2*5^1*7^1*11^2*19^1*29^2
29328	9745781760	1408	2^10*3^3*5^1*11^1*13^1*17^1*29^1
29329	9746100000	1296	2^5*3^2*5^5*7^2*13^1*17^1
29330	9746288640	936	2^12*3^2*5^1*11^2*19^1*23^1
29331	9747017280	1792	2^6*3^3*5^1*7^3*11^1*13^1*23^1
29332	9747094500	1008	2^2*3^6*5^3*11^2*13^1*17^1
29333	9747410400	1728	2^5*3^5*5^2*7^1*13^1*19^1*29^1
29334	9747882144	1080	2^5*3^4*7^1*11^1*13^2*17^2
29335	9748147500	900	2^2*3^4*5^4*7^1*13^1*23^2
29336	9748333800	864	2^3*3^8*5^2*17^1*19^1*23^1
29337	9748596000	1152	2^5*3^1*5^3*11^1*13^2*19^1*23^1
29338	9748872000	1008	2^6*3^2*5^3*7^1*23^1*29^2
29339	9749054700	1080	2^2*3^4*5^2*7^3*11^2*29^1
29340	9749432000	896	2^6*5^3*7^3*11^1*17^1*19^1
29341	9750426840	1280	2^3*3^4*5^1*7^1*11^3*17^1*19^1
29342	9750742848	1008	2^6*3^3*7^2*11^1*19^2*29^1
29343	9750973050	1152	2^1*3^3*5^2*7^2*13^1*17^1*23^1*29^1
29344	9751104000	1120	2^9*3^6*5^3*11^1*19^1
29345	9751421680	960	2^4*5^1*7^1*11^1*13^2*17^1*19^1*29^1
29346	9751480200	1296	2^3*3^2*5^2*7^2*11^1*19^1*23^2
29347	9751833000	1024	2^3*3^7*5^3*7^3*13^1
29348	9751891968	1040	2^12*3^4*7^1*13^1*17^1*19^1
29349	9752345460	1152	2^2*3^3*5^1*11^1*13^1*17^2*19^1*23^1
29350	9753354240	896	2^13*3^1*5^1*7^1*17^1*23^1*29^1
29351	9753537024	960	2^9*3^3*7^3*11^2*17^1
29352	9753744000	1536	2^7*3^1*5^3*7^2*11^1*13^1*29^1
29353	9754214400	864	2^15*3^5*5^2*7^2
29354	9754668000	1920	2^5*3^4*5^3*7^1*11^1*17^1*23^1
29355	9754739280	960	2^4*3^5*5^1*11^3*13^1*29^1
29356	9755116800	1296	2^8*3^1*5^2*11^2*13^1*17^1*19^1
29357	9755166960	1200	2^4*3^5*5^1*7^4*11^1*19^1
29358	9755456256	972	2^8*3^2*7^2*13^1*17^2*23^1
29359	9755846100	1296	2^2*3^2*5^2*7^3*11^1*13^2*17^1
29360	9756357120	960	2^9*3^3*5^1*17^1*19^2*23^1
29361	9756747000	1536	2^3*3^3*5^3*7^1*11^1*13^1*19^2
29362	9757440000	1080	2^11*3^2*5^4*7^1*11^2
29363	9757495440	1440	2^4*3^3*5^1*7^2*11^1*17^2*29^1
29364	9757519200	972	2^5*3^8*5^2*11^1*13^2
29365	9758620872	864	2^3*3^2*7^2*11^1*13^1*23^1*29^2
29366	9759360000	880	2^10*3^1*5^4*13^1*17^1*23^1
29367	9759859200	1440	2^9*3^2*5^2*7^3*13^1*19^1
29368	9759923040	864	2^5*3^1*5^1*7^1*17^2*19^1*23^2
29369	9760278528	864	2^11*3^2*7^1*11^1*13^1*23^2
29370	9760406040	960	2^3*3^9*5^1*7^2*11^1*23^1
29371	9760855104	1176	2^6*3^6*7^1*11^2*13^1*19^1
29372	9761400000	1008	2^6*3^2*5^5*11^1*17^1*29^1
29373	9761534640	960	2^4*3^3*5^1*11^2*13^3*17^1
29374	9762318720	1536	2^7*3^3*5^1*7^1*11^2*23^1*29^1
29375	9762637500	864	2^2*3^2*5^5*7^3*11^1*23^1
29376	9762775776	864	2^5*3^5*13^2*17^1*19^1*23^1
29377	9763503750	960	2^1*3^3*5^4*7^1*11^1*13^1*17^2
29378	9764239680	1008	2^6*3^2*5^1*13^1*17^1*23^2*29^1
