id	n	tau	factorization
0	3360	48	2^5*3^1*5^1*7^1
1	3780	48	2^2*3^3*5^1*7^1
2	3960	48	2^3*3^2*5^1*11^1
3	4200	48	2^3*3^1*5^2*7^1
4	4320	48	2^5*3^3*5^1
5	4620	48	2^2*3^1*5^1*7^1*11^1
6	5040	60	2^4*3^2*5^1*7^1
7	5400	48	2^3*3^3*5^2
8	5544	48	2^3*3^2*7^1*11^1
9	5760	48	2^7*3^2*5^1
10	5880	48	2^3*3^1*5^1*7^2
11	6048	48	2^5*3^3*7^1
12	6300	54	2^2*3^2*5^2*7^1
13	6480	50	2^4*3^4*5^1
14	6600	48	2^3*3^1*5^2*11^1
15	6720	56	2^6*3^1*5^1*7^1
16	6930	48	2^1*3^2*5^1*7^1*11^1
17	7200	54	2^5*3^2*5^2
18	7392	48	2^5*3^1*7^1*11^1
19	7560	64	2^3*3^3*5^1*7^1
20	7920	60	2^4*3^2*5^1*11^1
21	8064	48	2^7*3^2*7^1
22	8316	48	2^2*3^3*7^1*11^1
23	8400	60	2^4*3^1*5^2*7^1
24	8640	56	2^6*3^3*5^1
25	8820	54	2^2*3^2*5^1*7^2
26	9000	48	2^3*3^2*5^3
27	9240	64	2^3*3^1*5^1*7^1*11^1
28	9450	48	2^1*3^3*5^2*7^1
29	9504	48	2^5*3^3*11^1
30	9600	48	2^7*3^1*5^2
31	9720	48	2^3*3^5*5^1
32	9900	54	2^2*3^2*5^2*11^1
33	10080	72	2^5*3^2*5^1*7^1
34	10500	48	2^2*3^1*5^3*7^1
35	10560	56	2^6*3^1*5^1*11^1
36	10584	48	2^3*3^3*7^2
37	10800	60	2^4*3^3*5^2
38	11088	60	2^4*3^2*7^1*11^1
39	11340	60	2^2*3^4*5^1*7^1
40	11550	48	2^1*3^1*5^2*7^1*11^1
41	11760	60	2^4*3^1*5^1*7^2
42	11880	64	2^3*3^3*5^1*11^1
43	12000	48	2^5*3^1*5^3
44	12096	56	2^6*3^3*7^1
45	12320	48	2^5*5^1*7^1*11^1
46	12600	72	2^3*3^2*5^2*7^1
47	12960	60	2^5*3^4*5^1
48	13200	60	2^4*3^1*5^2*11^1
49	13230	48	2^1*3^3*5^1*7^2
50	13440	64	2^7*3^1*5^1*7^1
51	13500	48	2^2*3^3*5^3
52	13608	48	2^3*3^5*7^1
53	13860	72	2^2*3^2*5^1*7^1*11^1
54	14112	54	2^5*3^2*7^2
55	14400	63	2^6*3^2*5^2
56	14520	48	2^3*3^1*5^1*11^2
57	14784	56	2^6*3^1*7^1*11^1
58	15120	80	2^4*3^3*5^1*7^1
59	15840	72	2^5*3^2*5^1*11^1
60	16128	54	2^8*3^2*7^1
61	16200	60	2^3*3^4*5^2
62	16632	64	2^3*3^3*7^1*11^1
63	16800	72	2^5*3^1*5^2*7^1
64	17280	64	2^7*3^3*5^1
65	17640	72	2^3*3^2*5^1*7^2
66	17820	60	2^2*3^4*5^1*11^1
67	18000	60	2^4*3^2*5^3
68	18144	60	2^5*3^4*7^1
69	18480	80	2^4*3^1*5^1*7^1*11^1
70	18900	72	2^2*3^3*5^2*7^1
71	19008	56	2^6*3^3*11^1
72	19200	54	2^8*3^1*5^2
73	19404	54	2^2*3^2*7^2*11^1
74	19440	60	2^4*3^5*5^1
75	19800	72	2^3*3^2*5^2*11^1
76	20160	84	2^6*3^2*5^1*7^1
77	20790	64	2^1*3^3*5^1*7^1*11^1
78	21000	64	2^3*3^1*5^3*7^1
79	21168	60	2^4*3^3*7^2
80	21600	72	2^5*3^3*5^2
81	22050	54	2^1*3^2*5^2*7^2
82	22176	72	2^5*3^2*7^1*11^1
83	22680	80	2^3*3^4*5^1*7^1
84	23040	60	2^9*3^2*5^1
85	23100	72	2^2*3^1*5^2*7^1*11^1
86	23520	72	2^5*3^1*5^1*7^2
87	23760	80	2^4*3^3*5^1*11^1
88	24000	56	2^6*3^1*5^3
89	24192	64	2^7*3^3*7^1
90	24300	54	2^2*3^5*5^2
91	24640	56	2^6*5^1*7^1*11^1
92	24948	60	2^2*3^4*7^1*11^1
93	25200	90	2^4*3^2*5^2*7^1
94	25872	60	2^4*3^1*7^2*11^1
95	25920	70	2^6*3^4*5^1
96	26400	72	2^5*3^1*5^2*11^1
97	26880	72	2^8*3^1*5^1*7^1
98	27000	64	2^3*3^3*5^3
99	27216	60	2^4*3^5*7^1
100	27720	96	2^3*3^2*5^1*7^1*11^1
101	28224	63	2^6*3^2*7^2
102	28350	60	2^1*3^4*5^2*7^1
103	28512	60	2^5*3^4*11^1
104	28800	72	2^7*3^2*5^2
105	29040	60	2^4*3^1*5^1*11^2
106	29160	56	2^3*3^6*5^1
107	29400	72	2^3*3^1*5^2*7^2
108	29568	64	2^7*3^1*7^1*11^1
109	29700	72	2^2*3^3*5^2*11^1
110	30240	96	2^5*3^3*5^1*7^1
111	30800	60	2^4*5^2*7^1*11^1
112	31500	72	2^2*3^2*5^3*7^1
113	31680	84	2^6*3^2*5^1*11^1
114	31752	60	2^3*3^4*7^2
115	32256	60	2^9*3^2*7^1
116	32340	72	2^2*3^1*5^1*7^2*11^1
117	32400	75	2^4*3^4*5^2
118	33264	80	2^4*3^3*7^1*11^1
119	33600	84	2^6*3^1*5^2*7^1
120	34020	72	2^2*3^5*5^1*7^1
121	34560	72	2^8*3^3*5^1
122	34650	72	2^1*3^2*5^2*7^1*11^1
123	34848	54	2^5*3^2*11^2
124	35280	90	2^4*3^2*5^1*7^2
