id	n	tau	factorization
125	35640	80	2^3*3^4*5^1*11^1
126	36000	72	2^5*3^2*5^3
127	36288	70	2^6*3^4*7^1
128	36960	96	2^5*3^1*5^1*7^1*11^1
129	37632	54	2^8*3^1*7^2
130	37800	96	2^3*3^3*5^2*7^1
131	38016	64	2^7*3^3*11^1
132	38400	60	2^9*3^1*5^2
133	38808	72	2^3*3^2*7^2*11^1
134	38880	72	2^5*3^5*5^1
135	39200	54	2^5*5^2*7^2
136	39600	90	2^4*3^2*5^2*11^1
137	39690	60	2^1*3^4*5^1*7^2
138	40320	96	2^7*3^2*5^1*7^1
139	40824	56	2^3*3^6*7^1
140	41160	64	2^3*3^1*5^1*7^3
141	41472	50	2^9*3^4
142	41580	96	2^2*3^3*5^1*7^1*11^1
143	42000	80	2^4*3^1*5^3*7^1
144	42240	72	2^8*3^1*5^1*11^1
145	42336	72	2^5*3^3*7^2
146	42768	60	2^4*3^5*11^1
147	43120	60	2^4*5^1*7^2*11^1
148	43200	84	2^6*3^3*5^2
149	43560	72	2^3*3^2*5^1*11^2
150	44100	81	2^2*3^2*5^2*7^2
151	44352	84	2^6*3^2*7^1*11^1
152	44550	60	2^1*3^4*5^2*11^1
153	44800	54	2^8*5^2*7^1
154	45000	60	2^3*3^2*5^4
155	45360	100	2^4*3^4*5^1*7^1
156	46200	96	2^3*3^1*5^2*7^1*11^1
157	46656	49	2^6*3^6
158	47040	84	2^6*3^1*5^1*7^2
159	47250	64	2^1*3^3*5^3*7^1
160	47520	96	2^5*3^3*5^1*11^1
161	48000	64	2^7*3^1*5^3
162	48384	72	2^8*3^3*7^1
163	48510	72	2^1*3^2*5^1*7^2*11^1
164	48600	72	2^3*3^5*5^2
165	49280	64	2^7*5^1*7^1*11^1
166	49500	72	2^2*3^2*5^3*11^1
167	49896	80	2^3*3^4*7^1*11^1
168	50400	108	2^5*3^2*5^2*7^1
169	50820	72	2^2*3^1*5^1*7^1*11^2
170	51030	56	2^1*3^6*5^1*7^1
171	51744	72	2^5*3^1*7^2*11^1
172	51840	80	2^7*3^4*5^1
173	52272	60	2^4*3^3*11^2
174	52500	60	2^2*3^1*5^4*7^1
175	52800	84	2^6*3^1*5^2*11^1
176	52920	96	2^3*3^3*5^1*7^2
177	53460	72	2^2*3^5*5^1*11^1
178	53760	80	2^9*3^1*5^1*7^1
179	53900	54	2^2*5^2*7^2*11^1
180	54000	80	2^4*3^3*5^3
181	54432	72	2^5*3^5*7^1
182	54450	54	2^1*3^2*5^2*11^2
183	55440	120	2^4*3^2*5^1*7^1*11^1
184	56000	56	2^6*5^3*7^1
185	56448	72	2^7*3^2*7^2
186	56700	90	2^2*3^4*5^2*7^1
187	57600	81	2^8*3^2*5^2
188	57750	64	2^1*3^1*5^3*7^1*11^1
189	58080	72	2^5*3^1*5^1*11^2
190	58212	72	2^2*3^3*7^2*11^1
191	58320	70	2^4*3^6*5^1
192	58800	90	2^4*3^1*5^2*7^2
193	59136	72	2^8*3^1*7^1*11^1
194	59400	96	2^3*3^3*5^2*11^1
195	60000	60	2^5*3^1*5^4
196	60480	112	2^6*3^3*5^1*7^1
197	60984	72	2^3*3^2*7^1*11^2
198	61440	52	2^12*3^1*5^1
199	61740	72	2^2*3^2*5^1*7^3
200	62208	54	2^8*3^5
201	62370	80	2^1*3^4*5^1*7^1*11^1
202	62720	54	2^8*5^1*7^2
203	63000	96	2^3*3^2*5^3*7^1
204	63360	96	2^7*3^2*5^1*11^1
205	63504	75	2^4*3^4*7^2
206	64152	56	2^3*3^6*11^1
207	64512	66	2^10*3^2*7^1
208	64680	96	2^3*3^1*5^1*7^2*11^1
209	64800	90	2^5*3^4*5^2
210	65340	72	2^2*3^3*5^1*11^2
211	66000	80	2^4*3^1*5^3*11^1
212	66150	72	2^1*3^3*5^2*7^2
213	66528	96	2^5*3^3*7^1*11^1
214	67200	96	2^7*3^1*5^2*7^1
215	67500	60	2^2*3^3*5^4
216	67760	60	2^4*5^1*7^1*11^2
217	68040	96	2^3*3^5*5^1*7^1
218	69120	80	2^9*3^3*5^1
219	69300	108	2^2*3^2*5^2*7^1*11^1
220	69696	63	2^6*3^2*11^2
221	70000	50	2^4*5^4*7^1
222	70400	54	2^8*5^2*11^1
223	70560	108	2^5*3^2*5^1*7^2
224	71280	100	2^4*3^4*5^1*11^1
225	72000	84	2^6*3^2*5^3
226	72576	80	2^7*3^4*7^1
227	72600	72	2^3*3^1*5^2*11^2
228	72900	63	2^2*3^6*5^2
229	73500	72	2^2*3^1*5^3*7^2
230	73920	112	2^6*3^1*5^1*7^1*11^1
231	74088	64	2^3*3^3*7^3
232	74250	64	2^1*3^3*5^3*11^1
233	74844	72	2^2*3^5*7^1*11^1
234	75264	60	2^9*3^1*7^2
235	75600	120	2^4*3^3*5^2*7^1
236	76032	72	2^8*3^3*11^1
237	76800	66	2^10*3^1*5^2
238	77000	64	2^3*5^3*7^1*11^1
239	77616	90	2^4*3^2*7^2*11^1
240	77760	84	2^6*3^5*5^1
241	78400	63	2^6*5^2*7^2
242	78408	60	2^3*3^4*11^2
243	79200	108	2^5*3^2*5^2*11^1
244	79380	90	2^2*3^4*5^1*7^2
245	80190	56	2^1*3^6*5^1*11^1
246	80640	108	2^8*3^2*5^1*7^1
247	80850	72	2^1*3^1*5^2*7^2*11^1
248	81000	80	2^3*3^4*5^3
249	81312	72	2^5*3^1*7^1*11^2
250	82320	80	2^4*3^1*5^1*7^3
251	82500	60	2^2*3^1*5^4*11^1
252	82944	55	2^10*3^4
253	83160	128	2^3*3^3*5^1*7^1*11^1
254	84000	96	2^5*3^1*5^3*7^1
255	84672	84	2^6*3^3*7^2
256	84700	54	2^2*5^2*7^1*11^2
257	85050	72	2^1*3^5*5^2*7^1
258	85536	72	2^5*3^5*11^1
259	86240	72	2^5*5^1*7^2*11^1
260	86400	96	2^7*3^3*5^2
261	87318	60	2^1*3^4*7^2*11^1
262	87480	64	2^3*3^7*5^1
263	88000	56	2^6*5^3*11^1
264	88200	108	2^3*3^2*5^2*7^2
265	88704	96	2^7*3^2*7^1*11^1
266	89100	90	2^2*3^4*5^2*11^1
267	89600	60	2^9*5^2*7^1
268	90000	75	2^4*3^2*5^4
269	90552	64	2^3*3^1*7^3*11^1
270	90720	120	2^5*3^4*5^1*7^1
271	91476	72	2^2*3^3*7^1*11^2
272	92160	72	2^11*3^2*5^1
273	92400	120	2^4*3^1*5^2*7^1*11^1
274	92610	64	2^1*3^3*5^1*7^3
275	93312	56	2^7*3^6
276	94080	96	2^7*3^1*5^1*7^2
277	94500	96	2^2*3^3*5^3*7^1
278	95040	112	2^6*3^3*5^1*11^1
279	95256	72	2^3*3^5*7^2
280	96000	72	2^8*3^1*5^3
281	96768	80	2^9*3^3*7^1
282	97020	108	2^2*3^2*5^1*7^2*11^1
283	97200	90	2^4*3^5*5^2
284	98010	60	2^1*3^4*5^1*11^2
285	98560	72	2^8*5^1*7^1*11^1
286	98784	72	2^5*3^2*7^3
287	99000	96	2^3*3^2*5^3*11^1
288	99792	100	2^4*3^4*7^1*11^1
289	100800	126	2^6*3^2*5^2*7^1
290	101640	96	2^3*3^1*5^1*7^1*11^2
291	102060	84	2^2*3^6*5^1*7^1
292	102900	72	2^2*3^1*5^2*7^3
293	103488	84	2^6*3^1*7^2*11^1
294	103680	90	2^8*3^4*5^1
295	103950	96	2^1*3^3*5^2*7^1*11^1
296	104544	72	2^5*3^3*11^2
297	105000	80	2^3*3^1*5^4*7^1
298	105600	96	2^7*3^1*5^2*11^1
299	105840	120	2^4*3^3*5^1*7^2
300	106920	96	2^3*3^5*5^1*11^1
301	107520	88	2^10*3^1*5^1*7^1
302	107800	72	2^3*5^2*7^2*11^1
303	108000	96	2^5*3^3*5^3
304	108864	84	2^6*3^5*7^1
305	108900	81	2^2*3^2*5^2*11^2
306	109760	56	2^6*5^1*7^3
307	110250	72	2^1*3^2*5^3*7^2
308	110880	144	2^5*3^2*5^1*7^1*11^1
309	111132	60	2^2*3^4*7^3
310	112000	64	2^7*5^3*7^1
311	112896	81	2^8*3^2*7^2
312	113190	64	2^1*3^1*5^1*7^3*11^1
313	113400	120	2^3*3^4*5^2*7^1
314	114048	80	2^7*3^4*11^1
315	115200	90	2^9*3^2*5^2
316	115248	50	2^4*3^1*7^4
317	115500	96	2^2*3^1*5^3*7^1*11^1
318	116160	84	2^6*3^1*5^1*11^2
319	116640	84	2^5*3^6*5^1
320	117600	108	2^5*3^1*5^2*7^2
321	117612	54	2^2*3^5*11^2
322	118272	80	2^9*3^1*7^1*11^1
323	118800	120	2^4*3^3*5^2*11^1
324	119070	72	2^1*3^5*5^1*7^2
325	120000	70	2^6*3^1*5^4
326	120960	128	2^7*3^3*5^1*7^1
327	121500	72	2^2*3^5*5^3
328	121968	90	2^4*3^2*7^1*11^2
329	122472	64	2^3*3^7*7^1
330	122880	56	2^13*3^1*5^1
331	123200	84	2^6*5^2*7^1*11^1
332	123480	96	2^3*3^2*5^1*7^3
333	123750	60	2^1*3^2*5^4*11^1
334	124416	60	2^9*3^5
335	124740	120	2^2*3^4*5^1*7^1*11^1
336	126000	120	2^4*3^2*5^3*7^1
337	126720	108	2^8*3^2*5^1*11^1
338	127008	90	2^5*3^4*7^2
339	127050	72	2^1*3^1*5^2*7^1*11^2
340	129024	72	2^11*3^2*7^1
341	129360	120	2^4*3^1*5^1*7^2*11^1
342	129600	105	2^6*3^4*5^2
343	130680	96	2^3*3^3*5^1*11^2
344	131712	64	2^7*3^1*7^3
345	132000	96	2^5*3^1*5^3*11^1
346	132300	108	2^2*3^3*5^2*7^2
347	133056	112	2^6*3^3*7^1*11^1
348	134400	108	2^8*3^1*5^2*7^1
349	135000	80	2^3*3^3*5^4
350	135168	52	2^12*3^1*11^1
351	135520	72	2^5*5^1*7^1*11^2
352	135828	72	2^2*3^2*7^3*11^1
353	136080	120	2^4*3^5*5^1*7^1
354	137200	60	2^4*5^2*7^3
355	137214	60	2^1*3^4*7^1*11^2
356	137984	54	2^8*7^2*11^1
357	138240	88	2^10*3^3*5^1
358	138600	144	2^3*3^2*5^2*7^1*11^1
359	139392	72	2^7*3^2*11^2
360	140000	60	2^5*5^4*7^1
361	140800	60	2^9*5^2*11^1
362	141120	126	2^6*3^2*5^1*7^2
363	141750	80	2^1*3^4*5^3*7^1
364	142296	72	2^3*3^1*7^2*11^2
365	142560	120	2^5*3^4*5^1*11^1
366	142884	63	2^2*3^6*7^2
367	144000	96	2^7*3^2*5^3
368	145152	90	2^8*3^4*7^1
369	145200	90	2^4*3^1*5^2*11^2
370	145530	96	2^1*3^3*5^1*7^2*11^1
371	145800	84	2^3*3^6*5^2
372	147000	96	2^3*3^1*5^3*7^2
373	147840	128	2^7*3^1*5^1*7^1*11^1
374	148176	80	2^4*3^3*7^3
375	148500	96	2^2*3^3*5^3*11^1
376	149688	96	2^3*3^5*7^1*11^1
377	150000	60	2^4*3^1*5^5
378	150528	66	2^10*3^1*7^2
379	150920	64	2^3*5^1*7^3*11^1
380	151200	144	2^5*3^3*5^2*7^1
381	152064	80	2^9*3^3*11^1
382	152460	108	2^2*3^2*5^1*7^1*11^2
383	153090	64	2^1*3^7*5^1*7^1
384	153600	72	2^11*3^1*5^2
385	154000	80	2^4*5^3*7^1*11^1
386	155232	108	2^5*3^2*7^2*11^1
387	155520	96	2^7*3^5*5^1
388	155925	60	3^4*5^2*7^1*11^1
389	156800	72	2^7*5^2*7^2
390	156816	75	2^4*3^4*11^2
391	157500	90	2^2*3^2*5^4*7^1
392	158400	126	2^6*3^2*5^2*11^1
393	158760	120	2^3*3^4*5^1*7^2
394	160380	84	2^2*3^6*5^1*11^1
395	161280	120	2^9*3^2*5^1*7^1
396	161700	108	2^2*3^1*5^2*7^2*11^1
397	162000	100	2^4*3^4*5^3
398	163296	84	2^5*3^6*7^1
399	164640	96	2^5*3^1*5^1*7^3
400	165000	80	2^3*3^1*5^4*11^1
401	165888	60	2^11*3^4
402	166320	160	2^4*3^3*5^1*7^1*11^1
403	168000	112	2^6*3^1*5^3*7^1
404	168960	88	2^10*3^1*5^1*11^1
405	169344	96	2^7*3^3*7^2
406	169400	72	2^3*5^2*7^1*11^2
407	170100	108	2^2*3^5*5^2*7^1
408	171072	84	2^6*3^5*11^1
409	172032	56	2^13*3^1*7^1
410	172480	84	2^6*5^1*7^2*11^1
411	172800	108	2^8*3^3*5^2
412	172872	60	2^3*3^2*7^4
413	173250	96	2^1*3^2*5^3*7^1*11^1
414	174240	108	2^5*3^2*5^1*11^2
415	174636	90	2^2*3^4*7^2*11^1
416	174960	80	2^4*3^7*5^1
417	176000	64	2^7*5^3*11^1
418	176400	135	2^4*3^2*5^2*7^2
419	177408	108	2^8*3^2*7^1*11^1
420	177870	72	2^1*3^1*5^1*7^2*11^2
421	178200	120	2^3*3^4*5^2*11^1
422	179200	66	2^10*5^2*7^1
423	180000	90	2^5*3^2*5^4
424	181104	80	2^4*3^1*7^3*11^1
425	181440	140	2^6*3^4*5^1*7^1
426	182250	56	2^1*3^6*5^3
427	182952	96	2^3*3^3*7^1*11^2
428	184800	144	2^5*3^1*5^2*7^1*11^1
429	185220	96	2^2*3^3*5^1*7^3
430	186624	63	2^8*3^6
431	187110	96	2^1*3^5*5^1*7^1*11^1
432	188160	108	2^8*3^1*5^1*7^2
433	189000	128	2^3*3^3*5^3*7^1
434	190080	128	2^7*3^3*5^1*11^1
435	190512	90	2^4*3^5*7^2
436	192000	80	2^9*3^1*5^3
437	193536	88	2^10*3^3*7^1
438	193600	63	2^6*5^2*11^2
439	194040	144	2^3*3^2*5^1*7^2*11^1
440	194400	108	2^5*3^5*5^2
441	196020	90	2^2*3^4*5^1*11^2
442	197120	80	2^9*5^1*7^1*11^1
443	197568	84	2^6*3^2*7^3
444	198000	120	2^4*3^2*5^3*11^1
445	198450	90	2^1*3^4*5^2*7^2
446	199584	120	2^5*3^4*7^1*11^1
447	201600	144	2^7*3^2*5^2*7^1
448	202500	75	2^2*3^4*5^4
449	203280	120	2^4*3^1*5^1*7^1*11^2
450	203742	64	2^1*3^3*7^3*11^1
451	204120	112	2^3*3^6*5^1*7^1
452	205800	96	2^3*3^1*5^2*7^3
453	206976	96	2^7*3^1*7^2*11^1
454	207360	100	2^9*3^4*5^1
455	207900	144	2^2*3^3*5^2*7^1*11^1
456	209088	84	2^6*3^3*11^2
457	209952	54	2^5*3^8
458	210000	100	2^4*3^1*5^4*7^1
459	211200	108	2^8*3^1*5^2*11^1
460	211680	144	2^5*3^3*5^1*7^2
461	213444	81	2^2*3^2*7^2*11^2
462	213840	120	2^4*3^5*5^1*11^1
463	215040	96	2^11*3^1*5^1*7^1
464	215600	90	2^4*5^2*7^2*11^1
465	216000	112	2^6*3^3*5^3
466	216090	60	2^1*3^2*5^1*7^4
467	216832	54	2^8*7^1*11^2
468	217728	96	2^7*3^5*7^1
469	217800	108	2^3*3^2*5^2*11^2
470	218295	60	3^4*5^1*7^2*11^1
471	218700	72	2^2*3^7*5^2
472	219520	64	2^7*5^1*7^3
473	220000	60	2^5*5^4*11^1
474	220500	108	2^2*3^2*5^3*7^2
475	221760	168	2^6*3^2*5^1*7^1*11^1
476	222750	80	2^1*3^4*5^3*11^1
477	223608	64	2^3*3^1*7^1*11^3
478	224000	72	2^8*5^3*7^1
479	224532	84	2^2*3^6*7^1*11^1
480	225000	72	2^3*3^2*5^5
481	226380	96	2^2*3^1*5^1*7^3*11^1
482	228690	96	2^1*3^3*5^1*7^1*11^2
483	230400	99	2^10*3^2*5^2
484	231000	128	2^3*3^1*5^3*7^1*11^1
485	232320	96	2^7*3^1*5^1*11^2
486	233280	98	2^6*3^6*5^1
487	235200	126	2^6*3^1*5^2*7^2
488	235224	72	2^3*3^5*11^2
489	237160	72	2^3*5^1*7^2*11^2
490	237600	144	2^5*3^3*5^2*11^1
491	238140	108	2^2*3^5*5^1*7^2
492	239580	72	2^2*3^2*5^1*11^3
493	240000	80	2^7*3^1*5^4
494	240570	64	2^1*3^7*5^1*11^1
495	242000	60	2^4*5^3*11^2
496	242550	108	2^1*3^2*5^2*7^2*11^1
497	243000	96	2^3*3^5*5^3
498	245000	60	2^3*5^4*7^2
499	247500	90	2^2*3^2*5^4*11^1
