n,farey_size,raw_gap,f_value,total_pairs_at_gap,rank_left,rank_right,left_num,left_den,right_num,right_den,delta_num,delta_den_down,det,left_den_slack,right_den_slack,center2_left_offset,center2_right_offset,predicted_f,excess_over_predicted,predicted_template
201,12365,53,52,1,6182,6235,100,201,101,200,1,1,301,0,1,-1,2,52,0,True
202,12465,53,52,1,6232,6285,100,201,101,200,1,1,301,1,2,-1,2,52,0,True
203,12633,55,54,1,6315,6370,100,201,101,200,1,1,301,2,3,-1,2,54,0,True
204,12697,53,52,1,6297,6350,101,204,102,203,1,1,305,0,1,-2,1,52,0,True
205,12857,54,53,1,6428,6482,102,205,103,204,1,1,307,0,1,-1,2,53,0,True
206,12959,54,53,1,6479,6533,102,205,103,204,1,1,307,1,2,-1,2,53,0,True
207,13091,56,55,1,6544,6600,102,205,103,204,1,1,307,2,3,-1,2,55,0,True
208,13187,54,53,1,6541,6595,103,208,104,207,1,1,311,0,1,-2,1,53,0,True
209,13367,55,54,1,6683,6738,104,209,105,208,1,1,313,0,1,-1,2,54,0,True
210,13415,55,54,1,6707,6762,104,209,105,208,1,1,313,1,2,-1,2,54,0,True
211,13625,57,56,1,6811,6868,104,209,105,208,1,1,313,2,3,-1,2,56,0,True
212,13729,55,54,1,6811,6866,105,212,106,211,1,1,317,0,1,-2,1,54,0,True
213,13869,56,55,1,6934,6990,106,213,107,212,1,1,319,0,1,-1,2,55,0,True
214,13975,56,55,1,6987,7043,106,213,107,212,1,1,319,1,2,-1,2,55,0,True
215,14143,58,57,1,7070,7128,106,213,107,212,1,1,319,2,3,-1,2,57,0,True
216,14215,56,55,1,7053,7109,107,216,108,215,1,1,323,0,1,-2,1,55,0,True
217,14395,57,56,1,7197,7254,108,217,109,216,1,1,325,0,1,-1,2,56,0,True
218,14503,57,56,1,7251,7308,108,217,109,216,1,1,325,1,2,-1,2,56,0,True
219,14647,59,58,1,7322,7381,108,217,109,216,1,1,325,2,3,-1,2,58,0,True
220,14727,57,56,1,7308,7365,109,220,110,219,1,1,329,0,1,-2,1,56,0,True
221,14919,58,57,1,7459,7517,110,221,111,220,1,1,331,0,1,-1,2,57,0,True
222,14991,58,57,1,7495,7553,110,221,111,220,1,1,331,1,2,-1,2,57,0,True
223,15213,60,59,1,7605,7665,110,221,111,220,1,1,331,2,3,-1,2,59,0,True
224,15309,58,57,1,7598,7656,111,224,112,223,1,1,335,0,1,-2,1,57,0,True
225,15429,59,58,1,7714,7773,112,225,113,224,1,1,337,0,1,-1,2,58,0,True
226,15541,59,58,1,7770,7829,112,225,113,224,1,1,337,1,2,-1,2,58,0,True
227,15767,61,60,1,7882,7943,112,225,113,224,1,1,337,2,3,-1,2,60,0,True
228,15839,59,58,1,7862,7921,113,228,114,227,1,1,341,0,1,-2,1,58,0,True
229,16067,60,59,1,8033,8093,114,229,115,228,1,1,343,0,1,-1,2,59,0,True
230,16155,60,59,1,8077,8137,114,229,115,228,1,1,343,1,2,-1,2,59,0,True
