n,farey_size,raw_gap,f_value,total_pairs_at_gap,rank_left,rank_right,left_num,left_den,right_num,right_den,delta_num,delta_den_down,det,left_den_slack,right_den_slack,center2_left_offset,center2_right_offset,predicted_f,excess_over_predicted,predicted_template
301,27651,78,77,1,13825,13903,150,301,151,300,1,1,451,0,1,-1,2,77,0,True
302,27801,78,77,1,13900,13978,150,301,151,300,1,1,451,1,2,-1,2,77,0,True
303,28001,80,79,1,13999,14079,150,301,151,300,1,1,451,2,3,-1,2,79,0,True
304,28145,78,77,1,13996,14074,151,304,152,303,1,1,455,0,1,-2,1,77,0,True
305,28385,79,78,1,14192,14271,152,305,153,304,1,1,457,0,1,-1,2,78,0,True
306,28481,79,78,1,14240,14319,152,305,153,304,1,1,457,1,2,-1,2,78,0,True
307,28787,81,80,1,14392,14473,152,305,153,304,1,1,457,2,3,-1,2,80,0,True
308,28907,79,78,1,14376,14455,153,308,154,307,1,1,461,0,1,-2,1,78,0,True
309,29111,80,79,1,14555,14635,154,309,155,308,1,1,463,0,1,-1,2,79,0,True
310,29231,80,79,1,14615,14695,154,309,155,308,1,1,463,1,2,-1,2,79,0,True
311,29541,82,81,1,14769,14851,154,309,155,308,1,1,463,2,3,-1,2,81,0,True
312,29637,80,79,1,14740,14820,155,312,156,311,1,1,467,0,1,-2,1,79,0,True
313,29949,81,80,1,14974,15055,156,313,157,312,1,1,469,0,1,-1,2,80,0,True
314,30105,81,80,1,15052,15133,156,313,157,312,1,1,469,1,2,-1,2,80,0,True
315,30249,83,82,1,15123,15206,156,313,157,312,1,1,469,2,3,-1,2,82,0,True
316,30405,81,80,1,15123,15204,157,316,158,315,1,1,473,0,1,-2,1,80,0,True
317,30721,82,81,1,15360,15442,158,317,159,316,1,1,475,0,1,-1,2,81,0,True
318,30825,82,81,1,15412,15494,158,317,159,316,1,1,475,1,2,-1,2,81,0,True
319,31105,84,83,1,15551,15635,158,317,159,316,1,1,475,2,3,-1,2,83,0,True
320,31233,82,81,1,15536,15618,159,320,160,319,1,1,479,0,1,-2,1,81,0,True
321,31445,83,82,1,15722,15805,160,321,161,320,1,1,481,0,1,-1,2,82,0,True
322,31577,83,82,1,15788,15871,160,321,161,320,1,1,481,1,2,-1,2,82,0,True
323,31865,85,84,1,15931,16016,160,321,161,320,1,1,481,2,3,-1,2,84,0,True
324,31973,83,82,1,15905,15988,161,324,162,323,1,1,485,0,1,-2,1,82,0,True
325,32213,84,83,1,16106,16190,162,325,163,324,1,1,487,0,1,-1,2,83,0,True
326,32375,84,83,1,16187,16271,162,325,163,324,1,1,487,1,2,-1,2,83,0,True
327,32591,86,85,1,16294,16380,162,325,163,324,1,1,487,2,3,-1,2,85,0,True
328,32751,84,83,1,16293,16377,163,328,164,327,1,1,491,0,1,-2,1,83,0,True
329,33027,85,84,1,16513,16598,164,329,165,328,1,1,493,0,1,-1,2,84,0,True
330,33107,85,84,1,16553,16638,164,329,165,328,1,1,493,1,2,-1,2,84,0,True
331,33437,87,86,1,16717,16804,164,329,165,328,1,1,493,2,3,-1,2,86,0,True
332,33601,85,84,1,16717,16802,165,332,166,331,1,1,497,0,1,-2,1,84,0,True
333,33817,86,85,1,16908,16994,166,333,167,332,1,1,499,0,1,-1,2,85,0,True
334,33983,86,85,1,16991,17077,166,333,167,332,1,1,499,1,2,-1,2,85,0,True
335,34247,88,87,1,17122,17210,166,333,167,332,1,1,499,2,3,-1,2,87,0,True
336,34343,86,85,1,17087,17173,167,336,168,335,1,1,503,0,1,-2,1,85,0,True
