n,farey_size,raw_gap,f_value,total_pairs_at_gap,rank_left,rank_right,left_num,left_den,right_num,right_den,delta_num,delta_den_down,det,left_den_slack,right_den_slack,center2_left_offset,center2_right_offset,predicted_f,excess_over_predicted,predicted_template
4,7,3,2,1,2,5,1,4,2,3,1,1,5,0,1,-2,1,2,0,True
5,11,4,3,1,5,9,2,5,3,4,1,1,7,0,1,-1,2,3,0,True
6,13,4,3,2,2,6,1,6,2,5,1,1,7,0,1,-4,-1,3,0,False
6,13,4,3,2,6,10,2,5,3,4,1,1,7,1,2,-1,2,3,0,True
7,19,5,4,1,3,8,1,6,2,5,1,1,7,1,2,-4,-1,5,-1,True
8,23,4,3,1,9,13,3,8,4,7,1,1,11,0,1,-2,1,3,0,True
9,29,4,3,1,7,11,2,9,3,8,1,1,11,0,1,-5,-2,4,-1,False
10,33,5,4,3,8,13,2,9,3,8,1,1,11,1,2,-5,-2,4,0,False
10,33,5,4,3,11,16,3,10,4,9,1,1,13,0,1,-4,-1,4,0,False
10,33,5,4,3,16,21,4,9,5,8,1,1,13,1,2,-1,2,4,0,True
11,43,6,5,2,8,14,2,11,3,10,1,1,13,0,1,-7,-4,6,-1,False
11,43,6,5,2,14,20,3,10,4,9,1,1,13,1,2,-4,-1,6,-1,False
12,47,5,4,1,20,25,5,12,6,11,1,1,17,0,1,-2,1,4,0,True
13,59,6,5,2,19,25,4,13,5,12,1,1,17,0,1,-5,-2,5,0,False
13,59,6,5,2,29,35,6,13,7,12,1,1,19,0,1,-1,2,5,0,True
14,65,6,5,1,32,38,6,13,7,12,1,1,19,1,2,-1,2,5,0,True
15,73,6,5,2,10,16,2,15,3,14,1,1,17,0,1,-11,-8,7,-2,False
15,73,6,5,2,20,26,4,15,5,14,1,1,19,0,1,-7,-4,7,-2,False
16,81,6,5,2,16,22,3,16,4,15,1,1,19,0,1,-10,-7,5,0,False
16,81,6,5,2,36,42,7,16,8,15,1,1,23,0,1,-2,1,5,0,True
17,97,7,6,2,19,26,3,16,4,15,1,1,19,1,2,-10,-7,6,0,False
17,97,7,6,2,48,55,8,17,9,16,1,1,25,0,1,-1,2,6,0,True
18,103,7,6,3,20,27,3,16,4,15,1,1,19,2,3,-10,-7,6,0,False
18,103,7,6,3,29,36,5,18,6,17,1,1,23,0,1,-8,-5,6,0,False
18,103,7,6,3,51,58,8,17,9,16,1,1,25,1,2,-1,2,6,0,True
19,121,8,7,2,34,42,5,18,6,17,1,1,23,1,2,-8,-5,8,-1,False
19,121,8,7,2,40,48,6,19,7,18,1,1,25,0,1,-7,-4,8,-1,False
20,129,7,6,1,59,66,9,20,10,19,1,1,29,0,1,-2,1,6,0,True
21,141,8,7,2,13,21,2,21,3,20,1,1,23,0,1,-17,-14,7,0,False
21,141,8,7,2,70,78,10,21,11,20,1,1,31,0,1,-1,2,7,0,True
22,151,8,7,2,50,58,7,22,8,21,1,1,29,0,1,-8,-5,7,0,False
22,151,8,7,2,75,83,10,21,11,20,1,1,31,1,2,-1,2,7,0,True
23,173,9,8,1,57,66,7,22,8,21,1,1,29,1,2,-8,-5,9,-1,False
24,181,8,7,1,84,92,11,24,12,23,1,1,35,0,1,-2,1,7,0,True
25,201,8,7,1,33,41,4,25,5,24,1,1,29,0,1,-17,-14,8,-1,False
26,213,9,8,2,35,44,4,25,5,24,1,1,29,1,2,-17,-14,8,0,False
26,213,9,8,2,106,115,12,25,13,24,1,1,37,1,2,-1,2,8,0,True
27,231,9,8,1,70,79,8,27,9,26,1,1,35,0,1,-11,-8,10,-2,False
28,243,9,8,1,114,123,13,28,14,27,1,1,41,0,1,-2,1,8,0,True
29,271,10,9,1,135,145,14,29,15,28,1,1,43,0,1,-1,2,9,0,True
30,279,10,9,1,139,149,14,29,15,28,1,1,43,1,2,-1,2,9,0,True
31,309,11,10,2,61,72,6,31,7,30,1,1,37,0,1,-19,-16,11,-1,False
31,309,11,10,2,102,113,10,31,11,30,1,1,41,0,1,-11,-8,11,-1,False
32,325,10,9,1,154,164,15,32,16,31,1,1,47,0,1,-2,1,9,0,True
33,345,11,10,2,105,116,10,33,11,32,1,1,43,0,1,-13,-10,10,0,False
33,345,11,10,2,172,183,16,33,17,32,1,1,49,0,1,-1,2,10,0,True
34,361,11,10,1,180,191,16,33,17,32,1,1,49,1,2,-1,2,10,0,True
35,385,12,11,2,44,56,4,35,5,34,1,1,39,0,1,-27,-24,12,-1,False
35,385,12,11,2,66,78,6,35,7,34,1,1,41,0,1,-23,-20,12,-1,False
36,397,11,10,1,189,200,17,36,18,35,1,1,53,0,1,-2,1,10,0,True
37,433,12,11,1,216,228,18,37,19,36,1,1,55,0,1,-1,2,11,0,True
38,451,12,11,1,225,237,18,37,19,36,1,1,55,1,2,-1,2,11,0,True
39,475,13,12,1,68,81,5,36,6,35,1,1,41,3,4,-26,-23,13,-1,False
40,491,12,11,1,235,247,19,40,20,39,1,1,59,0,1,-2,1,11,0,True
41,531,13,12,1,265,278,20,41,21,40,1,1,61,0,1,-1,2,12,0,True
