id	n	tau	factorization
324	190512	90	2^4*3^5*7^2
325	193600	63	2^6*5^2*11^2
326	194481	25	3^4*7^4
327	196608	34	2^16*3^1
328	198450	90	2^1*3^4*5^2*7^2
329	200704	39	2^12*7^2
330	202500	75	2^2*3^4*5^4
331	204800	42	2^13*5^2
332	209088	84	2^6*3^3*11^2
333	209952	54	2^5*3^8
334	213444	81	2^2*3^2*7^2*11^2
335	217800	108	2^3*3^2*5^2*11^2
336	218700	72	2^2*3^7*5^2
337	225792	90	2^9*3^2*7^2
338	226875	30	3^1*5^4*11^2
339	230400	99	2^10*3^2*5^2
340	234256	25	2^4*11^4
341	235200	126	2^6*3^1*5^2*7^2
342	235298	14	2^1*7^6
343	236196	33	2^2*3^10
344	240100	45	2^2*5^2*7^4
345	245000	60	2^3*5^4*7^2
346	245025	45	3^4*5^2*11^2
347	247808	36	2^11*11^2
348	248832	66	2^10*3^5
349	250000	35	2^4*5^6
350	259200	120	2^7*3^4*5^2
351	259308	60	2^2*3^3*7^4
352	263538	30	2^1*3^2*11^4
353	264627	24	3^7*11^2
354	270000	100	2^4*3^3*5^4
355	281250	42	2^1*3^2*5^6
356	284592	90	2^4*3^1*7^2*11^2
357	285768	84	2^3*3^6*7^2
358	294912	48	2^15*3^2
359	296450	54	2^1*5^2*7^2*11^2
360	297675	54	3^5*5^2*7^2
361	307200	78	2^12*3^1*5^2
362	307328	40	2^7*7^4
363	313632	90	2^5*3^4*11^2
364	314928	50	2^4*3^9
365	320000	50	2^9*5^4
366	326700	108	2^2*3^3*5^2*11^2
367	328050	54	2^1*3^8*5^2
368	338688	108	2^8*3^3*7^2
369	352800	162	2^5*3^2*5^2*7^2
370	352947	14	3^1*7^6
371	367500	90	2^2*3^1*5^4*7^2
372	371712	66	2^10*3^1*11^2
373	373248	70	2^9*3^6
374	387200	72	2^7*5^2*11^2
375	388800	126	2^6*3^5*5^2
376	388962	50	2^1*3^4*7^4
377	395307	20	3^3*11^4
378	401408	42	2^13*7^2
379	405000	100	2^3*3^4*5^4
380	421875	28	3^3*5^6
381	426888	108	2^3*3^2*7^2*11^2
382	428652	72	2^2*3^7*7^2
383	442368	60	2^14*3^3
384	444675	54	3^1*5^2*7^2*11^2
385	460800	108	2^11*3^2*5^2
386	460992	70	2^6*3^1*7^4
387	468512	30	2^5*11^4
388	470448	90	2^4*3^5*11^2
389	472392	44	2^3*3^10
390	480000	90	2^8*3^1*5^4
391	480200	60	2^3*5^2*7^4
392	490050	90	2^1*3^4*5^2*11^2
393	492075	30	3^9*5^2
394	500000	42	2^5*5^6
395	529200	180	2^4*3^3*5^2*7^2
396	559872	72	2^8*3^7
397	580800	126	2^6*3^1*5^2*11^2
398	583443	30	3^5*7^4
399	602112	78	2^12*3^1*7^2
400	607500	90	2^2*3^5*5^4
401	640332	108	2^2*3^3*7^2*11^2
402	691200	132	2^10*3^3*5^2
403	702768	50	2^4*3^1*11^4
404	708588	36	2^2*3^11
405	720300	90	2^2*3^1*5^2*7^4
406	735075	54	3^5*5^2*11^2
407	750000	70	2^4*3^1*5^6
