id	n	tau	factorization
0	1	1	1
1	2	2	2^1
2	3	2	3^1
3	4	3	2^2
4	6	4	2^1*3^1
5	8	4	2^3
6	9	3	3^2
7	10	4	2^1*5^1
8	12	6	2^2*3^1
9	15	4	3^1*5^1
10	16	5	2^4
11	18	6	2^1*3^2
12	24	8	2^3*3^1
13	25	3	5^2
14	27	4	3^3
15	32	6	2^5
16	36	9	2^2*3^2
17	40	8	2^3*5^1
18	48	10	2^4*3^1
19	49	3	7^2
20	50	6	2^1*5^2
21	54	8	2^1*3^3
22	60	12	2^2*3^1*5^1
23	64	7	2^6
24	72	12	2^3*3^2
25	75	6	3^1*5^2
26	81	5	3^4
27	90	12	2^1*3^2*5^1
28	96	12	2^5*3^1
29	98	6	2^1*7^2
30	100	9	2^2*5^2
31	108	12	2^2*3^3
32	121	3	11^2
33	128	8	2^7
34	135	8	3^3*5^1
35	144	15	2^4*3^2
36	147	6	3^1*7^2
37	150	12	2^1*3^1*5^2
38	160	12	2^5*5^1
39	162	10	2^1*3^4
40	169	3	13^2
41	192	14	2^6*3^1
42	196	9	2^2*7^2
43	200	12	2^3*5^2
44	216	16	2^3*3^3
45	225	9	3^2*5^2
46	240	20	2^4*3^1*5^1
47	242	6	2^1*11^2
48	243	6	3^5
49	250	8	2^1*5^3
50	256	9	2^8
51	288	18	2^5*3^2
52	289	3	17^2
53	294	12	2^1*3^1*7^2
54	300	18	2^2*3^1*5^2
55	324	15	2^2*3^4
56	338	6	2^1*13^2
57	360	24	2^3*3^2*5^1
58	361	3	19^2
59	363	6	3^1*11^2
60	375	8	3^1*5^3
61	384	16	2^7*3^1
62	392	12	2^3*7^2
63	400	15	2^4*5^2
64	432	20	2^4*3^3
65	441	9	3^2*7^2
66	450	18	2^1*3^2*5^2
67	484	9	2^2*11^2
68	486	12	2^1*3^5
69	490	12	2^1*5^1*7^2
70	507	6	3^1*13^2
71	512	10	2^9
72	529	3	23^2
73	540	24	2^2*3^3*5^1
74	576	21	2^6*3^2
75	578	6	2^1*17^2
76	588	18	2^2*3^1*7^2
