id	n	tau	factorization
77	600	24	2^3*3^1*5^2
78	625	5	5^4
79	640	16	2^7*5^1
80	648	20	2^3*3^4
81	675	12	3^3*5^2
82	676	9	2^2*13^2
83	722	6	2^1*19^2
84	726	12	2^1*3^1*11^2
85	729	7	3^6
86	735	12	3^1*5^1*7^2
87	768	18	2^8*3^1
88	784	15	2^4*7^2
89	800	18	2^5*5^2
90	810	20	2^1*3^4*5^1
91	841	3	29^2
92	864	24	2^5*3^3
93	867	6	3^1*17^2
94	882	18	2^1*3^2*7^2
95	900	27	2^2*3^2*5^2
96	960	28	2^6*3^1*5^1
97	968	12	2^3*11^2
98	972	18	2^2*3^5
99	1000	16	2^3*5^3
100	1014	12	2^1*3^1*13^2
101	1024	11	2^10
102	1058	6	2^1*23^2
103	1083	6	3^1*19^2
104	1089	9	3^2*11^2
105	1152	24	2^7*3^2
106	1156	9	2^2*17^2
107	1176	24	2^3*3^1*7^2
108	1200	30	2^4*3^1*5^2
109	1210	12	2^1*5^1*11^2
110	1215	12	3^5*5^1
111	1225	9	5^2*7^2
112	1250	10	2^1*5^4
113	1296	25	2^4*3^4
114	1323	12	3^3*7^2
115	1350	24	2^1*3^3*5^2
116	1352	12	2^3*13^2
117	1440	36	2^5*3^2*5^1
118	1444	9	2^2*19^2
119	1452	18	2^2*3^1*11^2
120	1458	14	2^1*3^6
121	1500	24	2^2*3^1*5^3
122	1521	9	3^2*13^2
123	1536	20	2^9*3^1
124	1568	18	2^5*7^2
125	1587	6	3^1*23^2
126	1600	21	2^6*5^2
127	1682	6	2^1*29^2
128	1690	12	2^1*5^1*13^2
129	1728	28	2^6*3^3
130	1734	12	2^1*3^1*17^2
131	1764	27	2^2*3^2*7^2
132	1800	36	2^3*3^2*5^2
133	1815	12	3^1*5^1*11^2
134	1875	10	3^1*5^4
135	1936	15	2^4*11^2
136	1944	24	2^3*3^5
137	1960	24	2^3*5^1*7^2
138	2025	15	3^4*5^2
139	2028	18	2^2*3^1*13^2
140	2048	12	2^11
141	2116	9	2^2*23^2
142	2160	40	2^4*3^3*5^1
143	2166	12	2^1*3^1*19^2
144	2178	18	2^1*3^2*11^2
145	2187	8	3^7
146	2250	24	2^1*3^2*5^3
147	2304	27	2^8*3^2
148	2312	12	2^3*17^2
149	2352	30	2^4*3^1*7^2
150	2400	36	2^5*3^1*5^2
151	2401	5	7^4
152	2450	18	2^1*5^2*7^2
153	2500	15	2^2*5^4
154	2523	6	3^1*29^2
155	2535	12	3^1*5^1*13^2
156	2560	20	2^9*5^1
157	2592	30	2^5*3^4
158	2601	9	3^2*17^2
159	2646	24	2^1*3^3*7^2
160	2700	36	2^2*3^3*5^2
161	2704	15	2^4*13^2
162	2888	12	2^3*19^2
163	2890	12	2^1*5^1*17^2
164	2904	24	2^3*3^1*11^2
165	2916	21	2^2*3^6
166	2940	36	2^2*3^1*5^1*7^2
167	3025	9	5^2*11^2
168	3042	18	2^1*3^2*13^2
169	3072	22	2^10*3^1
170	3136	21	2^6*7^2
171	3174	12	2^1*3^1*23^2
172	3200	24	2^7*5^2
173	3240	40	2^3*3^4*5^1
174	3249	9	3^2*19^2
175	3267	12	3^3*11^2
176	3364	9	2^2*29^2
177	3375	16	3^3*5^3
178	3456	32	2^7*3^3
179	3468	18	2^2*3^1*17^2
180	3528	36	2^3*3^2*7^2
181	3600	45	2^4*3^2*5^2
182	3610	12	2^1*5^1*19^2
183	3675	18	3^1*5^2*7^2
184	3750	20	2^1*3^1*5^4
185	3840	36	2^8*3^1*5^1
186	3872	18	2^5*11^2
187	3888	30	2^4*3^5
188	3969	15	3^4*7^2
189	4000	24	2^5*5^3
190	4050	30	2^1*3^4*5^2
191	4056	24	2^3*3^1*13^2
192	4096	13	2^12
193	4225	9	5^2*13^2
194	4232	12	2^3*23^2
195	4332	18	2^2*3^1*19^2
196	4335	12	3^1*5^1*17^2
197	4356	27	2^2*3^2*11^2
198	4374	16	2^1*3^7
199	4410	36	2^1*3^2*5^1*7^2
200	4563	12	3^3*13^2
201	4608	30	2^9*3^2
202	4624	15	2^4*17^2
203	4704	36	2^5*3^1*7^2
204	4761	9	3^2*23^2
205	4800	42	2^6*3^1*5^2
206	4802	10	2^1*7^4
207	4840	24	2^3*5^1*11^2
208	4860	36	2^2*3^5*5^1
209	4900	27	2^2*5^2*7^2
210	5000	20	2^3*5^4
211	5046	12	2^1*3^1*29^2
212	5184	35	2^6*3^4
213	5202	18	2^1*3^2*17^2
214	5290	12	2^1*5^1*23^2
215	5292	36	2^2*3^3*7^2
216	5400	48	2^3*3^3*5^2
217	5408	18	2^5*13^2
218	5415	12	3^1*5^1*19^2
219	5625	15	3^2*5^4
220	5760	48	2^7*3^2*5^1
221	5776	15	2^4*19^2
222	5808	30	2^4*3^1*11^2
223	5832	28	2^3*3^6
224	5929	9	7^2*11^2
225	6000	40	2^4*3^1*5^3
226	6050	18	2^1*5^2*11^2
227	6075	18	3^5*5^2
228	6084	27	2^2*3^2*13^2
229	6144	24	2^11*3^1
230	6250	12	2^1*5^5
231	6272	24	2^7*7^2
232	6348	18	2^2*3^1*23^2
233	6400	27	2^8*5^2
234	6498	18	2^1*3^2*19^2
235	6534	24	2^1*3^3*11^2
236	6561	9	3^8
237	6615	24	3^3*5^1*7^2
238	6728	12	2^3*29^2
239	6760	24	2^3*5^1*13^2
240	6912	36	2^8*3^3
241	6936	24	2^3*3^1*17^2
242	7056	45	2^4*3^2*7^2
243	7200	54	2^5*3^2*5^2
244	7203	10	3^1*7^4
245	7225	9	5^2*17^2
246	7260	36	2^2*3^1*5^1*11^2
247	7290	28	2^1*3^6*5^1
248	7350	36	2^1*3^1*5^2*7^2
249	7500	30	2^2*3^1*5^4
250	7569	9	3^2*29^2
251	7744	21	2^6*11^2
252	7776	36	2^5*3^5
253	7803	12	3^3*17^2
254	7840	36	2^5*5^1*7^2
255	7935	12	3^1*5^1*23^2
256	7938	30	2^1*3^4*7^2
257	8100	45	2^2*3^4*5^2
258	8112	30	2^4*3^1*13^2
259	8192	14	2^13
260	8281	9	7^2*13^2
261	8410	12	2^1*5^1*29^2
262	8450	18	2^1*5^2*13^2
263	8464	15	2^4*23^2
264	8640	56	2^6*3^3*5^1
265	8664	24	2^3*3^1*19^2
266	8712	36	2^3*3^2*11^2
267	8748	24	2^2*3^7
268	9000	48	2^3*3^2*5^3
269	9025	9	5^2*19^2
270	9075	18	3^1*5^2*11^2
271	9126	24	2^1*3^3*13^2
272	9216	33	2^10*3^2
273	9248	18	2^5*17^2
274	9375	12	3^1*5^5
275	9408	42	2^6*3^1*7^2
276	9522	18	2^1*3^2*23^2
277	9600	48	2^7*3^1*5^2
278	9604	15	2^2*7^4
279	9747	12	3^3*19^2
280	9800	36	2^3*5^2*7^2
281	9801	15	3^4*11^2
282	10000	25	2^4*5^4
283	10092	18	2^2*3^1*29^2
284	10140	36	2^2*3^1*5^1*13^2
285	10240	24	2^11*5^1
286	10368	40	2^7*3^4
287	10404	27	2^2*3^2*17^2
288	10584	48	2^3*3^3*7^2
289	10800	60	2^4*3^3*5^2
290	10816	21	2^6*13^2
291	10890	36	2^1*3^2*5^1*11^2
292	10935	16	3^7*5^1
293	11025	27	3^2*5^2*7^2
294	11250	30	2^1*3^2*5^4
295	11552	18	2^5*19^2
296	11560	24	2^3*5^1*17^2
297	11616	36	2^5*3^1*11^2
298	11664	35	2^4*3^6
299	11760	60	2^4*3^1*5^1*7^2
300	11858	18	2^1*7^2*11^2
301	11907	18	3^5*7^2
302	12100	27	2^2*5^2*11^2
303	12150	36	2^1*3^5*5^2
304	12168	36	2^3*3^2*13^2
305	12250	24	2^1*5^3*7^2
306	12288	26	2^12*3^1
307	12544	27	2^8*7^2
308	12615	12	3^1*5^1*29^2
309	12675	18	3^1*5^2*13^2
310	12696	24	2^3*3^1*23^2
311	12800	30	2^9*5^2
312	12960	60	2^5*3^4*5^1
313	12996	27	2^2*3^2*19^2
314	13068	36	2^2*3^3*11^2
315	13122	18	2^1*3^8
316	13225	9	5^2*23^2
317	13456	15	2^4*29^2
318	13500	48	2^2*3^3*5^3
319	13689	15	3^4*13^2
320	13824	40	2^9*3^3
321	13872	30	2^4*3^1*17^2
322	14112	54	2^5*3^2*7^2
323	14161	9	7^2*17^2
324	14283	12	3^3*23^2
325	14400	63	2^6*3^2*5^2
326	14406	20	2^1*3^1*7^4
327	14440	24	2^3*5^1*19^2
328	14450	18	2^1*5^2*17^2
329	14641	5	11^4
330	14700	54	2^2*3^1*5^2*7^2
331	15000	40	2^3*3^1*5^4
332	15138	18	2^1*3^2*29^2
333	15210	36	2^1*3^2*5^1*13^2
334	15360	44	2^10*3^1*5^1
335	15488	24	2^7*11^2
336	15552	42	2^6*3^5
337	15606	24	2^1*3^3*17^2
338	15625	7	5^6
339	15876	45	2^2*3^4*7^2
340	16000	32	2^7*5^3
341	16200	60	2^3*3^4*5^2
342	16224	36	2^5*3^1*13^2
343	16335	24	3^3*5^1*11^2
344	16384	15	2^14
345	16562	18	2^1*7^2*13^2
346	16875	20	3^3*5^4
347	16900	27	2^2*5^2*13^2
348	16928	18	2^5*23^2
349	17328	30	2^4*3^1*19^2
350	17340	36	2^2*3^1*5^1*17^2
351	17424	45	2^4*3^2*11^2
352	17496	32	2^3*3^7
353	17640	72	2^3*3^2*5^1*7^2
354	17689	9	7^2*19^2
355	17787	18	3^1*7^2*11^2
356	18050	18	2^1*5^2*19^2
357	18150	36	2^1*3^1*5^2*11^2
358	18225	21	3^6*5^2
359	18252	36	2^2*3^3*13^2
360	18375	24	3^1*5^3*7^2
361	18432	36	2^11*3^2
362	18496	21	2^6*17^2
363	18816	48	2^7*3^1*7^2
364	19044	27	2^2*3^2*23^2
365	19200	54	2^8*3^1*5^2
366	19208	20	2^3*7^4
367	19360	36	2^5*5^1*11^2
368	19440	60	2^4*3^5*5^1
369	19494	24	2^1*3^3*19^2
370	19600	45	2^4*5^2*7^2
371	19602	30	2^1*3^4*11^2
372	19683	10	3^9
373	20000	30	2^5*5^4
374	20184	24	2^3*3^1*29^2
375	20250	40	2^1*3^4*5^3
376	20449	9	11^2*13^2
377	20736	45	2^8*3^4
378	20808	36	2^3*3^2*17^2
379	21025	9	5^2*29^2
380	21160	24	2^3*5^1*23^2
381	21168	60	2^4*3^3*7^2
382	21600	72	2^5*3^3*5^2
383	21609	15	3^2*7^4
384	21632	24	2^7*13^2
385	21660	36	2^2*3^1*5^1*19^2
386	21675	18	3^1*5^2*17^2
387	22050	54	2^1*3^2*5^2*7^2
388	22500	45	2^2*3^2*5^4
389	22707	12	3^3*29^2
390	22815	24	3^3*5^1*13^2
391	23040	60	2^9*3^2*5^1
392	23104	21	2^6*19^2
393	23232	42	2^6*3^1*11^2
394	23328	42	2^5*3^6
395	23409	15	3^4*17^2
396	23716	27	2^2*7^2*11^2
397	23814	36	2^1*3^5*7^2
398	24000	56	2^6*3^1*5^3
399	24010	20	2^1*5^1*7^4
400	24200	36	2^3*5^2*11^2
401	24300	54	2^2*3^5*5^2
402	24336	45	2^4*3^2*13^2
403	24576	28	2^13*3^1
404	24843	18	3^1*7^2*13^2
405	25000	24	2^3*5^5
406	25088	30	2^9*7^2
407	25350	36	2^1*3^1*5^2*13^2
408	25392	30	2^4*3^1*23^2
409	25600	33	2^10*5^2
410	25921	9	7^2*23^2
411	25992	36	2^3*3^2*19^2
412	26010	36	2^1*3^2*5^1*17^2
413	26136	48	2^3*3^3*11^2
414	26244	27	2^2*3^8
415	26450	18	2^1*5^2*23^2
416	26460	72	2^2*3^3*5^1*7^2
417	26912	18	2^5*29^2
418	27040	36	2^5*5^1*13^2
419	27075	18	3^1*5^2*19^2
420	27225	27	3^2*5^2*11^2
421	27378	30	2^1*3^4*13^2
422	27648	44	2^10*3^3
423	27744	36	2^5*3^1*17^2
424	28224	63	2^6*3^2*7^2
425	28322	18	2^1*7^2*17^2
426	28561	5	13^4
427	28566	24	2^1*3^3*23^2
428	28800	72	2^7*3^2*5^2
429	28812	30	2^2*3^1*7^4
430	28900	27	2^2*5^2*17^2
431	29040	60	2^4*3^1*5^1*11^2
432	29160	56	2^3*3^6*5^1
433	29241	15	3^4*19^2
434	29282	10	2^1*11^4
435	29400	72	2^3*3^1*5^2*7^2
436	29403	18	3^5*11^2
437	30000	50	2^4*3^1*5^4
438	30250	24	2^1*5^3*11^2
439	30276	27	2^2*3^2*29^2
440	30375	24	3^5*5^3
441	30625	15	5^4*7^2
442	30976	27	2^8*11^2
443	31104	48	2^7*3^5
444	31212	36	2^2*3^3*17^2
445	31250	14	2^1*5^6
446	31360	48	2^7*5^1*7^2
447	31740	36	2^2*3^1*5^1*23^2
448	31752	60	2^3*3^4*7^2
449	32400	75	2^4*3^4*5^2
450	32448	42	2^6*3^1*13^2
451	32490	36	2^1*3^2*5^1*19^2
452	32768	16	2^15
453	33075	36	3^3*5^2*7^2
454	33124	27	2^2*7^2*13^2
455	33640	24	2^3*5^1*29^2
456	33750	40	2^1*3^3*5^4
457	33800	36	2^3*5^2*13^2
458	33856	21	2^6*23^2
459	34560	72	2^8*3^3*5^1
460	34656	36	2^5*3^1*19^2
461	34848	54	2^5*3^2*11^2
462	34969	9	11^2*17^2
463	34992	40	2^4*3^7
464	35378	18	2^1*7^2*19^2
465	35574	36	2^1*3^1*7^2*11^2
466	35721	21	3^6*7^2
467	36000	72	2^5*3^2*5^3
468	36015	20	3^1*5^1*7^4
469	36100	27	2^2*5^2*19^2
470	36300	54	2^2*3^1*5^2*11^2
471	36450	42	2^1*3^6*5^2
472	36504	48	2^3*3^3*13^2
473	36864	39	2^12*3^2
474	36992	24	2^7*17^2
475	37500	36	2^2*3^1*5^5
476	37632	54	2^8*3^1*7^2
477	38025	27	3^2*5^2*13^2
478	38088	36	2^3*3^2*23^2
479	38400	60	2^9*3^1*5^2
480	38416	25	2^4*7^4
481	38988	36	2^2*3^3*19^2
482	39015	24	3^3*5^1*17^2
483	39200	54	2^5*5^2*7^2
484	39204	45	2^2*3^4*11^2
485	39366	20	2^1*3^9
486	39675	18	3^1*5^2*23^2
487	39690	60	2^1*3^4*5^1*7^2
488	40000	35	2^6*5^4
489	40368	30	2^4*3^1*29^2
490	40560	60	2^4*3^1*5^1*13^2
491	40898	18	2^1*11^2*13^2
492	40960	28	2^13*5^1
493	41067	18	3^5*13^2
494	41209	9	7^2*29^2
495	41472	50	2^9*3^4
496	41616	45	2^4*3^2*17^2
497	42050	18	2^1*5^2*29^2
498	42250	24	2^1*5^3*13^2
499	42336	72	2^5*3^3*7^2
500	42483	18	3^1*7^2*17^2
501	42849	15	3^4*23^2
502	43200	84	2^6*3^3*5^2
503	43218	30	2^1*3^2*7^4
504	43264	27	2^8*13^2
505	43350	36	2^1*3^1*5^2*17^2
506	43560	72	2^3*3^2*5^1*11^2
507	43681	9	11^2*19^2
508	43740	48	2^2*3^7*5^1
509	43923	10	3^1*11^4
510	44100	81	2^2*3^2*5^2*7^2
511	45000	60	2^3*3^2*5^4
512	45375	24	3^1*5^3*11^2
513	45414	24	2^1*3^3*29^2
514	46208	24	2^7*19^2
515	46240	36	2^5*5^1*17^2
516	46464	48	2^7*3^1*11^2
517	46656	49	2^6*3^6
518	46818	30	2^1*3^4*17^2
519	46875	14	3^1*5^6
520	47040	84	2^6*3^1*5^1*7^2
521	47432	36	2^3*7^2*11^2
522	47610	36	2^1*3^2*5^1*23^2
523	47628	54	2^2*3^5*7^2
524	48400	45	2^4*5^2*11^2
525	48600	72	2^3*3^5*5^2
526	48672	54	2^5*3^2*13^2
527	48735	24	3^3*5^1*19^2
528	48841	9	13^2*17^2
529	49000	48	2^3*5^3*7^2
530	49152	30	2^14*3^1
531	49686	36	2^1*3^1*7^2*13^2
532	50176	33	2^10*7^2
533	50460	36	2^2*3^1*5^1*29^2
534	50625	25	3^4*5^4
535	50700	54	2^2*3^1*5^2*13^2
536	50784	36	2^5*3^1*23^2
537	51200	36	2^11*5^2
538	51840	80	2^7*3^4*5^1
539	51842	18	2^1*7^2*23^2
540	51984	45	2^4*3^2*19^2
541	52272	60	2^4*3^3*11^2
542	52488	36	2^3*3^8
543	52900	27	2^2*5^2*23^2
544	53067	18	3^1*7^2*19^2
545	53361	27	3^2*7^2*11^2
546	53824	21	2^6*29^2
547	54000	80	2^4*3^3*5^3
548	54150	36	2^1*3^1*5^2*19^2
549	54450	54	2^1*3^2*5^2*11^2
550	54675	24	3^7*5^2
551	54756	45	2^2*3^4*13^2
552	55296	48	2^11*3^3
553	55488	42	2^6*3^1*17^2
554	56250	36	2^1*3^2*5^5
555	56448	72	2^7*3^2*7^2
556	56644	27	2^2*7^2*17^2
557	57122	10	2^1*13^4
558	57132	36	2^2*3^3*23^2
559	57600	81	2^8*3^2*5^2
560	57624	40	2^3*3^1*7^4
561	57760	36	2^5*5^1*19^2
562	57800	36	2^3*5^2*17^2
563	58482	30	2^1*3^4*19^2
564	58564	15	2^2*11^4
565	58800	90	2^4*3^1*5^2*7^2
566	58806	36	2^1*3^5*11^2
567	59049	11	3^10
568	59290	36	2^1*5^1*7^2*11^2
569	59535	36	3^5*5^1*7^2
570	60000	60	2^5*3^1*5^4
571	60025	15	5^2*7^4
572	60552	36	2^3*3^2*29^2
573	60840	72	2^3*3^2*5^1*13^2
574	61009	9	13^2*19^2
575	61250	30	2^1*5^4*7^2
576	61347	18	3^1*11^2*13^2
577	61440	52	2^12*3^1*5^1
578	61952	30	2^9*11^2
579	62208	54	2^8*3^5
580	62424	48	2^3*3^3*17^2
581	62500	21	2^2*5^6
582	63075	18	3^1*5^2*29^2
583	63375	24	3^1*5^3*13^2
584	63504	75	2^4*3^4*7^2
585	64000	40	2^9*5^3
586	64009	9	11^2*23^2
587	64800	90	2^5*3^4*5^2
588	64827	20	3^3*7^4
589	64896	48	2^7*3^1*13^2
590	65025	27	3^2*5^2*17^2
591	65340	72	2^2*3^3*5^1*11^2
592	65536	17	2^16
593	65610	36	2^1*3^8*5^1
594	66150	72	2^1*3^3*5^2*7^2
595	66248	36	2^3*7^2*13^2
596	67500	60	2^2*3^3*5^4
597	67600	45	2^4*5^2*13^2
598	67712	24	2^7*23^2
599	68121	15	3^4*29^2
600	69312	42	2^6*3^1*19^2
601	69360	60	2^4*3^1*5^1*17^2
602	69696	63	2^6*3^2*11^2
603	69938	18	2^1*11^2*17^2
604	69984	48	2^5*3^7
605	70227	18	3^5*17^2
606	70560	108	2^5*3^2*5^1*7^2
607	70756	27	2^2*7^2*19^2
608	71148	54	2^2*3^1*7^2*11^2
609	71415	24	3^3*5^1*23^2
610	71442	42	2^1*3^6*7^2
611	72200	36	2^3*5^2*19^2
612	72250	24	2^1*5^3*17^2
613	72600	72	2^3*3^1*5^2*11^2
614	72900	63	2^2*3^6*5^2
615	73008	60	2^4*3^3*13^2
616	73500	72	2^2*3^1*5^3*7^2
617	73728	42	2^13*3^2
618	73984	27	2^8*17^2
619	74529	27	3^2*7^2*13^2
620	75264	60	2^9*3^1*7^2
621	75625	15	5^4*11^2
622	75690	36	2^1*3^2*5^1*29^2
623	76050	54	2^1*3^2*5^2*13^2
624	76176	45	2^4*3^2*23^2
625	76800	66	2^10*3^1*5^2
626	76832	30	2^5*7^4
627	77440	48	2^7*5^1*11^2
628	77760	84	2^6*3^5*5^1
629	77763	18	3^1*7^2*23^2
630	77976	48	2^3*3^3*19^2
631	78400	63	2^6*5^2*7^2
632	78408	60	2^3*3^4*11^2
633	78732	30	2^2*3^9
634	79350	36	2^1*3^1*5^2*23^2
635	80000	40	2^7*5^4
636	80736	36	2^5*3^1*29^2
637	81000	80	2^3*3^4*5^3
638	81225	27	3^2*5^2*19^2
639	81675	36	3^3*5^2*11^2
640	81796	27	2^2*11^2*13^2
641	82134	36	2^1*3^5*13^2
642	82418	18	2^1*7^2*29^2
643	82810	36	2^1*5^1*7^2*13^2
644	82944	55	2^10*3^4
645	83232	54	2^5*3^2*17^2
646	83521	5	17^4
647	84100	27	2^2*5^2*29^2
648	84375	24	3^3*5^5
649	84640	36	2^5*5^1*23^2
650	84672	84	2^6*3^3*7^2
651	84966	36	2^1*3^1*7^2*17^2
652	85683	10	3^1*13^4
653	85698	30	2^1*3^4*23^2
654	86400	96	2^7*3^3*5^2
655	86436	45	2^2*3^2*7^4
656	86528	30	2^9*13^2
657	86640	60	2^4*3^1*5^1*19^2
658	86700	54	2^2*3^1*5^2*17^2
659	87362	18	2^1*11^2*19^2
660	87723	18	3^5*19^2
661	87846	20	2^1*3^1*11^4
662	88200	108	2^3*3^2*5^2*7^2
663	88209	21	3^6*11^2
664	88935	36	3^1*5^1*7^2*11^2
665	89401	9	13^2*23^2
666	90000	75	2^4*3^2*5^4
667	90250	24	2^1*5^3*19^2
668	90828	36	2^2*3^3*29^2
669	91260	72	2^2*3^3*5^1*13^2
670	91875	30	3^1*5^4*7^2
671	92160	72	2^11*3^2*5^1
672	92416	27	2^8*19^2
673	92928	54	2^8*3^1*11^2
674	93312	56	2^7*3^6
675	93636	45	2^2*3^4*17^2
676	93750	28	2^1*3^1*5^6
677	94864	45	2^4*7^2*11^2
678	95256	72	2^3*3^5*7^2
679	96000	72	2^8*3^1*5^3
680	96040	40	2^3*5^1*7^4
681	96800	54	2^5*5^2*11^2
682	97200	90	2^4*3^5*5^2
683	97344	63	2^6*3^2*13^2
684	97682	18	2^1*13^2*17^2
685	98010	60	2^1*3^4*5^1*11^2
686	98304	32	2^15*3^1
687	98415	20	3^9*5^1
688	99225	45	3^4*5^2*7^2
689	99372	54	2^2*3^1*7^2*13^2
690	100000	36	2^5*5^5
691	100352	36	2^11*7^2
692	101250	50	2^1*3^4*5^4
693	101400	72	2^3*3^1*5^2*13^2
694	101568	42	2^6*3^1*23^2
695	101761	9	11^2*29^2
696	102400	39	2^12*5^2
697	103684	27	2^2*7^2*23^2
698	103968	54	2^5*3^2*19^2
699	104040	72	2^3*3^2*5^1*17^2
700	104329	9	17^2*19^2
701	104544	72	2^5*3^3*11^2
702	104907	18	3^1*11^2*17^2
703	104976	45	2^4*3^8
704	105625	15	5^4*13^2
705	105800	36	2^3*5^2*23^2
706	105840	120	2^4*3^3*5^1*7^2
707	106134	36	2^1*3^1*7^2*19^2
708	106722	54	2^1*3^2*7^2*11^2
709	107163	24	3^7*7^2
710	107648	24	2^7*29^2
711	108160	48	2^7*5^1*13^2
712	108300	54	2^2*3^1*5^2*19^2
713	108375	24	3^1*5^3*17^2
714	108900	81	2^2*3^2*5^2*11^2
715	109350	48	2^1*3^7*5^2
716	109512	60	2^3*3^4*13^2
717	110250	72	2^1*3^2*5^3*7^2
718	110592	52	2^12*3^3
719	110976	48	2^7*3^1*17^2
720	112896	81	2^8*3^2*7^2
721	113288	36	2^3*7^2*17^2
722	113535	24	3^3*5^1*29^2
723	114075	36	3^3*5^2*13^2
724	114244	15	2^2*13^4
725	114264	48	2^3*3^3*23^2
726	115200	90	2^9*3^2*5^2
727	115248	50	2^4*3^1*7^4
728	115600	45	2^4*5^2*17^2
729	116160	84	2^6*3^1*5^1*11^2
730	116640	84	2^5*3^6*5^1
731	116964	45	2^2*3^4*19^2
732	117128	20	2^3*11^4
733	117600	108	2^5*3^1*5^2*7^2
734	117612	54	2^2*3^5*11^2
735	117649	7	7^6
736	118098	22	2^1*3^10
737	119025	27	3^2*5^2*23^2
738	120000	70	2^6*3^1*5^4
739	120050	30	2^1*5^2*7^4
740	121000	48	2^3*5^3*11^2
741	121104	45	2^4*3^2*29^2
742	121500	72	2^2*3^5*5^3
743	122018	18	2^1*13^2*19^2
744	122500	45	2^2*5^4*7^2
745	122694	36	2^1*3^1*11^2*13^2
746	123201	21	3^6*13^2
747	123627	18	3^1*7^2*29^2
748	123904	33	2^10*11^2
749	124215	36	3^1*5^1*7^2*13^2
750	124416	60	2^9*3^5
751	124848	60	2^4*3^3*17^2
752	125000	28	2^3*5^6
753	125440	60	2^9*5^1*7^2
754	126150	36	2^1*3^1*5^2*29^2
755	126960	60	2^4*3^1*5^1*23^2
756	127008	90	2^5*3^4*7^2
757	127449	27	3^2*7^2*17^2
758	128018	18	2^1*11^2*23^2
759	128547	18	3^5*23^2
760	129600	105	2^6*3^4*5^2
761	129654	40	2^1*3^3*7^4
762	129792	54	2^8*3^1*13^2
763	129960	72	2^3*3^2*5^1*19^2
764	130050	54	2^1*3^2*5^2*17^2
765	130321	5	19^4
766	131043	18	3^1*11^2*19^2
767	131072	18	2^17
768	131769	15	3^2*11^4
769	132250	24	2^1*5^3*23^2
770	132300	108	2^2*3^3*5^2*7^2
771	132496	45	2^4*7^2*13^2
772	134560	36	2^5*5^1*29^2
773	135000	80	2^3*3^3*5^4
774	135200	54	2^5*5^2*13^2
775	135375	24	3^1*5^3*19^2
776	135424	27	2^8*23^2
777	136242	30	2^1*3^4*29^2
778	136890	60	2^1*3^4*5^1*13^2
779	138240	88	2^10*3^3*5^1
780	138624	48	2^7*3^1*19^2
781	139392	72	2^7*3^2*11^2
782	139876	27	2^2*11^2*17^2
783	139968	56	2^6*3^7
784	140454	36	2^1*3^5*17^2
785	140625	21	3^2*5^6
786	141512	36	2^3*7^2*19^2
787	141610	36	2^1*5^1*7^2*17^2
788	142129	9	13^2*29^2
789	142296	72	2^3*3^1*7^2*11^2
790	142884	63	2^2*3^6*7^2
791	144000	96	2^7*3^2*5^3
792	144060	60	2^2*3^1*5^1*7^4
793	144400	45	2^4*5^2*19^2
794	145200	90	2^4*3^1*5^2*11^2
795	145800	84	2^3*3^6*5^2
796	146016	72	2^5*3^3*13^2
797	146410	20	2^1*5^1*11^4
798	146523	18	3^1*13^2*17^2
799	147015	36	3^5*5^1*11^2
800	147456	45	2^14*3^2
801	147968	30	2^9*17^2
